query_id,query,category,backend,rank,content_type,source_id,title,url,similarity,combined_score,graph_hops,latency_ms,relevance_0_to_3
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,1,article,7c56ae82-0bbd-42a0-919e-0c9d8a3ed495,"Europe deploys 3.4GWh of BESS in March, 19% of global total",https://www.energy-storage.news/europe-deploys-3-4gwh-of-bess-in-march-19-of-global-total/,0.7324,0.6696,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,2,article,0d406b21-ecd1-4c3f-99ed-d67841b09406,Copenhagen Infrastructure Partners sells 960MWh Summerfield Battery to Palisade in South Australia,https://www.energy-storage.news/copenhagen-infrastructure-partners-sells-960mwh-summerfield-battery-to-palisade-in-south-australia/,0.7199,0.6619,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,3,article,cfc31d78-b487-4deb-9347-41e95ba66975,Danish giant sells giga-scale battery as project readies to hit the grid,https://reneweconomy.com.au/danish-giant-sells-giga-scale-battery-as-project-readies-to-hit-the-grid/?utm_source=rss&utm_medium=rss&utm_campaign=danish-giant-sells-giga-scale-battery-as-project-readies-to-hit-the-grid,0.7189,0.6613,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,4,article,b50dc413-28f5-4a15-9718-d5ea41540d2b,Palisade inks deal to buy South Australian big battery project,https://www.pv-magazine-australia.com/2026/04/14/pallisade-inks-deal-to-buy-south-australian-big-battery-project/,0.7165,0.6599,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,5,article,2d208434-4534-4f04-910d-30fc755648ac,Update - Dividend/Distribution - ORG,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03070486-2A1661463,0.7207,0.6484,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,6,article,10f7b4ab-2ade-4acd-9c82-ac8b1308d8e9,Results of Annual General Meeting 9 April 2026,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077169-2A1665467,0.6941,0.6437,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,7,article,d740549d-54b4-44ed-8390-410e04d018be,Release of HY26 Financial Statements,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077295-2A1665532,0.6779,0.6341,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,8,article,8e9b6a88-ade5-4911-8c26-f8fe3518e474,Appendix 3Y,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03072902-2A1662790,0.6821,0.6292,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,9,article,63b327fe-ae5a-4080-9e98-653b8f6c182c,Quinbrook bags EPBC Act approval for 780MW Supernode North BESS in Australia,https://www.energy-storage.news/quinbrook-bags-epbc-act-approval-for-780mw-supernode-north-bess-in-australia/,0.6841,0.6283,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pgvector-cooccurrence,10,article,e02c036e-8148-4571-bd37-5f9f69630da6,2025 AGM Addresses and Presentation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077090-2A1665416,0.6618,0.6243,1,481,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,1,article,7c56ae82-0bbd-42a0-919e-0c9d8a3ed495,"Europe deploys 3.4GWh of BESS in March, 19% of global total",https://www.energy-storage.news/europe-deploys-3-4gwh-of-bess-in-march-19-of-global-total/,0.7324,0.8127,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,2,article,2d208434-4534-4f04-910d-30fc755648ac,Update - Dividend/Distribution - ORG,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03070486-2A1661463,0.7207,0.8045,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,3,article,0d406b21-ecd1-4c3f-99ed-d67841b09406,Copenhagen Infrastructure Partners sells 960MWh Summerfield Battery to Palisade in South Australia,https://www.energy-storage.news/copenhagen-infrastructure-partners-sells-960mwh-summerfield-battery-to-palisade-in-south-australia/,0.7199,0.8039,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,4,article,cfc31d78-b487-4deb-9347-41e95ba66975,Danish giant sells giga-scale battery as project readies to hit the grid,https://reneweconomy.com.au/danish-giant-sells-giga-scale-battery-as-project-readies-to-hit-the-grid/?utm_source=rss&utm_medium=rss&utm_campaign=danish-giant-sells-giga-scale-battery-as-project-readies-to-hit-the-grid,0.7189,0.8032,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,5,article,b50dc413-28f5-4a15-9718-d5ea41540d2b,Palisade inks deal to buy South Australian big battery project,https://www.pv-magazine-australia.com/2026/04/14/pallisade-inks-deal-to-buy-south-australian-big-battery-project/,0.7165,0.8016,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,6,article,10f7b4ab-2ade-4acd-9c82-ac8b1308d8e9,Results of Annual General Meeting 9 April 2026,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077169-2A1665467,0.6941,0.7859,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,7,article,63b327fe-ae5a-4080-9e98-653b8f6c182c,Quinbrook bags EPBC Act approval for 780MW Supernode North BESS in Australia,https://www.energy-storage.news/quinbrook-bags-epbc-act-approval-for-780mw-supernode-north-bess-in-australia/,0.6841,0.7789,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,8,article,8e9b6a88-ade5-4911-8c26-f8fe3518e474,Appendix 3Y,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03072902-2A1662790,0.6821,0.7775,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,9,article,b08044db-4b51-4652-92e6-5ed78d477139,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03067128-2A1659698,0.6809,0.7766,0,453,
ew-01,What has Origin Energy done in renewables and storage in the last quarter?,entity_walk,pg-graph-walk,10,article,9913eb4b-8a8d-40a5-9005-09b6d3aa2c0d,FY26 Half-Year Results Announcement,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03055136-2A1652968,0.6789,0.7752,0,453,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,1,article,4d2e937a-1609-4c3d-a40d-560124c19b11,Final Investment Decision - K2 Project,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03074186-2A1663497,0.6848,0.6361,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,2,article,9d86c739-957b-4257-9611-8764aeb2cd34,U.S. coal-fired generating capacity retired in 2025 was the least in 15 years,https://www.eia.gov/todayinenergy/detail.php?id=67427,0.6354,0.6361,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,3,article,de3d9b70-2c2b-41f2-8d53-e07b94c306a9,"AGL commissioning ‘ambitious’ 1,000MWh Liddell grid-forming BESS in Australia",https://www.energy-storage.news/agl-commissioning-ambitious-1000mwh-liddell-grid-forming-bess-in-australia/,0.6751,0.6228,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,4,article,739757f8-5d8d-42f1-95bb-925393a0f9a7,Fresh progress for eight-hour pumped hydro project proposed to help replace ageing coal plant,https://reneweconomy.com.au/fresh-progress-for-eight-hour-pumped-hydro-project-proposed-to-help-replace-ageing-coal-plant/?utm_source=rss&utm_medium=rss&utm_campaign=fresh-progress-for-eight-hour-pumped-hydro-project-proposed-to-help-replace-ageing-coal-plant,0.6528,0.6188,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,5,article,a014ed30-9d15-4112-94d4-61d8a191958f,Australia’s Transgrid shortlists 2GW of grid battery storage to replace coal’s system strength in NSW,https://www.energy-storage.news/australias-transgrid-shortlists-2gw-of-grid-battery-storage-to-replace-coals-system-strength-in-nsw/,0.6642,0.6179,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,6,article,e4ac0038-1204-45df-afd4-5307e0d1797c,Island commissioning to battery oversizing: Key lessons from AGL’s 1GWh grid-forming Liddell BESS in Australia,https://www.energy-storage.news/island-commissioning-to-battery-oversizing-key-lessons-from-agls-1gwh-grid-forming-liddell-bess-in-australia/,0.6379,0.6177,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,7,article,103c2340-81ce-4ad3-bfbc-e7f39052ea1d,Five battery projects totalling 7.9 GWh advance through approvals,https://www.pv-magazine-australia.com/2026/03/30/five-battery-projects-totalling-7-9-gwh-advance-through-approvals/,0.6571,0.6158,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,8,article,87466450-54a6-48b1-845e-e13e8aa98195,Notification of cessation of securities - AGL,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077914-2A1666056,0.6423,0.6147,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,9,article,86078c0c-ccfb-45c4-ba31-daf26d896dd0,Transgrid shortlists 2 GW of batteries to strengthen NSW grid,https://www.pv-magazine-australia.com/2026/03/30/transgrid-shortlists-2-gw-of-batteries-to-strengthen-nsw-grid/,0.6521,0.6129,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-only,10,article,e7d999f4-289f-4092-8175-adfe21c9c4a3,Australia’s EPBC Act pipeline swells with 5.5GWh of battery storage across three states,https://www.energy-storage.news/australias-epbc-act-pipeline-swells-with-5-5gwh-of-battery-storage-across-three-states/,0.6539,0.6106,,471,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,1,article,4d2e937a-1609-4c3d-a40d-560124c19b11,Final Investment Decision - K2 Project,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03074186-2A1663497,0.6848,0.6361,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,2,article,de3d9b70-2c2b-41f2-8d53-e07b94c306a9,"AGL commissioning ‘ambitious’ 1,000MWh Liddell grid-forming BESS in Australia",https://www.energy-storage.news/agl-commissioning-ambitious-1000mwh-liddell-grid-forming-bess-in-australia/,0.6751,0.6228,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,3,article,e4ac0038-1204-45df-afd4-5307e0d1797c,Island commissioning to battery oversizing: Key lessons from AGL’s 1GWh grid-forming Liddell BESS in Australia,https://www.energy-storage.news/island-commissioning-to-battery-oversizing-key-lessons-from-agls-1gwh-grid-forming-liddell-bess-in-australia/,0.6379,0.6177,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,4,article,87466450-54a6-48b1-845e-e13e8aa98195,Notification of cessation of securities - AGL,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077914-2A1666056,0.6423,0.6147,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,5,article,7c56ae82-0bbd-42a0-919e-0c9d8a3ed495,"Europe deploys 3.4GWh of BESS in March, 19% of global total",https://www.energy-storage.news/europe-deploys-3-4gwh-of-bess-in-march-19-of-global-total/,0.6065,0.5941,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,6,article,a6b850e6-0ff9-47b1-903b-595de583e8f8,FY26 Half-Year Results Presentation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03055152-2A1652970,0.6041,0.5579,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pgvector-cooccurrence,7,article,11ee033f-a150-4d6f-b90c-2dc51bb1a296,Appendix 3Y - Elizabeth Donaghey,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03057475-2A1654011,0.6222,0.5223,1,446,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,1,article,4d2e937a-1609-4c3d-a40d-560124c19b11,Final Investment Decision - K2 Project,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03074186-2A1663497,0.6848,0.7793,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,2,article,de3d9b70-2c2b-41f2-8d53-e07b94c306a9,"AGL commissioning ‘ambitious’ 1,000MWh Liddell grid-forming BESS in Australia",https://www.energy-storage.news/agl-commissioning-ambitious-1000mwh-liddell-grid-forming-bess-in-australia/,0.6751,0.7726,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,3,article,87466450-54a6-48b1-845e-e13e8aa98195,Notification of cessation of securities - AGL,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03077914-2A1666056,0.6423,0.7496,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,4,article,e4ac0038-1204-45df-afd4-5307e0d1797c,Island commissioning to battery oversizing: Key lessons from AGL’s 1GWh grid-forming Liddell BESS in Australia,https://www.energy-storage.news/island-commissioning-to-battery-oversizing-key-lessons-from-agls-1gwh-grid-forming-liddell-bess-in-australia/,0.6379,0.7465,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,5,article,11ee033f-a150-4d6f-b90c-2dc51bb1a296,Appendix 3Y - Elizabeth Donaghey,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03057475-2A1654011,0.6222,0.7356,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,6,article,7c56ae82-0bbd-42a0-919e-0c9d8a3ed495,"Europe deploys 3.4GWh of BESS in March, 19% of global total",https://www.energy-storage.news/europe-deploys-3-4gwh-of-bess-in-march-19-of-global-total/,0.6065,0.7246,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,7,article,a6b850e6-0ff9-47b1-903b-595de583e8f8,FY26 Half-Year Results Presentation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=2924-03055152-2A1652970,0.6041,0.7229,0,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,8,article,769dbb2a-c83b-4047-a7df-a5cf98da5af3,Backer of huge Australian green hydrogen projects lands funds to create “digital twin”,https://reneweconomy.com.au/backer-of-huge-australian-green-hydrogen-projects-lands-funds-to-create-digital-twin/?utm_source=rss&utm_medium=rss&utm_campaign=backer-of-huge-australian-green-hydrogen-projects-lands-funds-to-create-digital-twin,0.6021,0.5214,2,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,9,article,7fc2545f-5ba1-485f-b846-f460c0814052,Landowner renewable energy planning platform launched by RELA,https://www.pv-magazine-australia.com/2026/03/26/landowner-renewable-energy-planning-platform-launched-by-rela/,0.5626,0.4938,2,565,
ew-02,AGL Energy coal exit timeline and replacement projects,entity_walk,pg-graph-walk,10,article,9fdf13f2-595a-4fa4-a321-245e6be16972,"‘US battery manufacturing will surpass 100% of demand’, US ESC report states",https://www.energy-storage.news/us-battery-manufacturing-will-surpass-100-of-demand-us-esc-report-states/,0.5560,0.4892,2,565,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,1,article,74f7d058-b469-422b-80d9-2d466ba5ef79,Network giant uses contentious new transmission line to boost regional mobile coverage,https://reneweconomy.com.au/network-giant-uses-contentious-new-transmission-line-to-boost-regional-mobile-coverage/?utm_source=rss&utm_medium=rss&utm_campaign=network-giant-uses-contentious-new-transmission-line-to-boost-regional-mobile-coverage,0.6395,0.6104,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,2,article,739757f8-5d8d-42f1-95bb-925393a0f9a7,Fresh progress for eight-hour pumped hydro project proposed to help replace ageing coal plant,https://reneweconomy.com.au/fresh-progress-for-eight-hour-pumped-hydro-project-proposed-to-help-replace-ageing-coal-plant/?utm_source=rss&utm_medium=rss&utm_campaign=fresh-progress-for-eight-hour-pumped-hydro-project-proposed-to-help-replace-ageing-coal-plant,0.6377,0.6097,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,3,article,95c7c170-f403-406a-9d25-585dd8dc2bd4,Independent panel approves another big battery sent for review by long-distance haters,https://reneweconomy.com.au/independent-panel-approves-another-big-battery-sent-for-review-by-long-distance-haters/?utm_source=rss&utm_medium=rss&utm_campaign=independent-panel-approves-another-big-battery-sent-for-review-by-long-distance-haters,0.6247,0.6026,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,4,article,5303e8a7-0a4e-4098-8fe4-eb55e8c09efe,NSW planners approve Foresight’s 150MWh BESS; Banpu submits 1GWh development to Australia’s EPBC Act,https://www.energy-storage.news/nsw-planners-approve-foresights-150mwh-bess-banpu-submits-1gwh-development-to-australias-epbc-act/,0.6194,0.6020,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,5,article,6c2a0dfb-7b85-4878-9578-93e5ac853b1e,So much for the circular construction economy – MMC was to be the lead exhibit,https://thefifthestate.com.au/columns/spinifex/so-much-for-the-circular-construction-economy-mmc-was-to-be-the-lead-exhibit/,0.6145,0.5988,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,6,article,f417f5e1-3289-47c6-a91f-1d719b4193bf,Do Fortescue’s plans to eliminate gas and diesel stack up? The big win comes from electric trucks,https://reneweconomy.com.au/do-fortescues-plans-to-eliminate-gas-and-diesel-stack-up-the-big-win-comes-from-electric-trucks/?utm_source=rss&utm_medium=rss&utm_campaign=do-fortescues-plans-to-eliminate-gas-and-diesel-stack-up-the-big-win-comes-from-electric-trucks,0.6139,0.5983,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,7,article,a634762b-8ee8-4d4d-804a-7ffcf4460864,1.6GWh grid-forming Rutherglen Battery receives EPBC Act approval in Australia,https://www.energy-storage.news/1-6gwh-grid-forming-rutherglen-battery-receives-epbc-act-approval-in-australia/,0.6223,0.5950,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,8,article,d08e3a7c-2975-462e-a328-31427094643a,‘75% of what we need is not there’: Australian states race to deploy gigawatts of battery storage,https://www.energy-storage.news/75-of-what-we-need-is-not-there-australian-states-race-to-deploy-gigawatts-of-battery-storage/,0.6110,0.5944,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,9,article,a014ed30-9d15-4112-94d4-61d8a191958f,Australia’s Transgrid shortlists 2GW of grid battery storage to replace coal’s system strength in NSW,https://www.energy-storage.news/australias-transgrid-shortlists-2gw-of-grid-battery-storage-to-replace-coals-system-strength-in-nsw/,0.6211,0.5921,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-only,10,article,c6cbf62b-38db-4401-bbcc-6bb88af2a5e8,‘Culture of collaboration needed’: Australia’s NSW pushes energy storage projects from ambition to operation,https://www.energy-storage.news/culture-of-collaboration-needed-australias-nsw-pushes-energy-storage-projects-from-ambition-to-operation/,0.6225,0.5917,,520,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,1,article,74f7d058-b469-422b-80d9-2d466ba5ef79,Network giant uses contentious new transmission line to boost regional mobile coverage,https://reneweconomy.com.au/network-giant-uses-contentious-new-transmission-line-to-boost-regional-mobile-coverage/?utm_source=rss&utm_medium=rss&utm_campaign=network-giant-uses-contentious-new-transmission-line-to-boost-regional-mobile-coverage,0.6395,0.6104,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,2,article,739757f8-5d8d-42f1-95bb-925393a0f9a7,Fresh progress for eight-hour pumped hydro project proposed to help replace ageing coal plant,https://reneweconomy.com.au/fresh-progress-for-eight-hour-pumped-hydro-project-proposed-to-help-replace-ageing-coal-plant/?utm_source=rss&utm_medium=rss&utm_campaign=fresh-progress-for-eight-hour-pumped-hydro-project-proposed-to-help-replace-ageing-coal-plant,0.6377,0.6097,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,3,article,95c7c170-f403-406a-9d25-585dd8dc2bd4,Independent panel approves another big battery sent for review by long-distance haters,https://reneweconomy.com.au/independent-panel-approves-another-big-battery-sent-for-review-by-long-distance-haters/?utm_source=rss&utm_medium=rss&utm_campaign=independent-panel-approves-another-big-battery-sent-for-review-by-long-distance-haters,0.6247,0.6026,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,4,article,5303e8a7-0a4e-4098-8fe4-eb55e8c09efe,NSW planners approve Foresight’s 150MWh BESS; Banpu submits 1GWh development to Australia’s EPBC Act,https://www.energy-storage.news/nsw-planners-approve-foresights-150mwh-bess-banpu-submits-1gwh-development-to-australias-epbc-act/,0.6194,0.6020,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,5,article,6c2a0dfb-7b85-4878-9578-93e5ac853b1e,So much for the circular construction economy – MMC was to be the lead exhibit,https://thefifthestate.com.au/columns/spinifex/so-much-for-the-circular-construction-economy-mmc-was-to-be-the-lead-exhibit/,0.6145,0.5988,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,6,article,f417f5e1-3289-47c6-a91f-1d719b4193bf,Do Fortescue’s plans to eliminate gas and diesel stack up? The big win comes from electric trucks,https://reneweconomy.com.au/do-fortescues-plans-to-eliminate-gas-and-diesel-stack-up-the-big-win-comes-from-electric-trucks/?utm_source=rss&utm_medium=rss&utm_campaign=do-fortescues-plans-to-eliminate-gas-and-diesel-stack-up-the-big-win-comes-from-electric-trucks,0.6139,0.5983,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,7,article,a634762b-8ee8-4d4d-804a-7ffcf4460864,1.6GWh grid-forming Rutherglen Battery receives EPBC Act approval in Australia,https://www.energy-storage.news/1-6gwh-grid-forming-rutherglen-battery-receives-epbc-act-approval-in-australia/,0.6223,0.5950,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,8,article,d08e3a7c-2975-462e-a328-31427094643a,‘75% of what we need is not there’: Australian states race to deploy gigawatts of battery storage,https://www.energy-storage.news/75-of-what-we-need-is-not-there-australian-states-race-to-deploy-gigawatts-of-battery-storage/,0.6110,0.5944,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,9,article,a014ed30-9d15-4112-94d4-61d8a191958f,Australia’s Transgrid shortlists 2GW of grid battery storage to replace coal’s system strength in NSW,https://www.energy-storage.news/australias-transgrid-shortlists-2gw-of-grid-battery-storage-to-replace-coals-system-strength-in-nsw/,0.6211,0.5921,,508,
ew-03,Snowy Hydro 2.0 project status and cost overruns,entity_walk,pgvector-cooccurrence,10,article,c6cbf62b-38db-4401-bbcc-6bb88af2a5e8,‘Culture of collaboration needed’: Australia’s NSW pushes energy storage projects from ambition to operation,https://www.energy-storage.news/culture-of-collaboration-needed-australias-nsw-pushes-energy-storage-projects-from-ambition-to-operation/,0.6225,0.5917,,508,
